jarak tol;ate;conf
0.3;0.5828;0.0
0.4;0.564;0.0
0.5;0.5679;0.0
0.6;0.5834;0.0
0.7;0.5308;0.0
0.7999999999999999;0.9518;0.0
0.8999999999999999;1.0207;0.0
0.9999999999999999;1.0376;0.0
1.0999999999999999;0.9938;0.0
1.2;0.9543;0.0
1.3;0.8901;0.0
1.4000000000000001;0.8799;0.0
1.5000000000000002;0.8016;0.0
1.6000000000000003;0.7486;0.0
1.7000000000000004;0.7008;0.0
1.8000000000000005;0.8311;0.0
1.9000000000000006;0.8908;0.0
2.0000000000000004;0.9355;0.0
2.1000000000000005;0.9188;0.0
2.2000000000000006;0.9374;0.0
2.3000000000000007;0.8974;0.0
2.400000000000001;0.8193;0.0
2.500000000000001;0.7706;0.0
2.600000000000001;0.7304;0.0
2.700000000000001;0.7228;0.0
2.800000000000001;0.7205;0.0
2.9000000000000012;0.7166;0.0
3.0000000000000013;0.7117;0.0
3.1000000000000014;0.7174;0.0
3.2000000000000015;0.7131;0.0
3.3000000000000016;0.7342;0.0
3.4000000000000017;0.7407;0.0
3.5000000000000018;0.7232;0.0
3.600000000000002;0.7216;0.0
3.700000000000002;0.7457;0.0
3.800000000000002;0.6544;0.0
3.900000000000002;0.6535;0.0
4.000000000000002;0.6564;0.0
4.100000000000001;0.7056;0.0
4.200000000000001;0.6605;0.0
4.300000000000001;0.6865;0.0
4.4;0.6786;0.0
4.5;0.6768;0.0
4.6;0.6767;0.0
4.699999999999999;0.6806;0.0
4.799999999999999;0.7441;0.0
4.899999999999999;0.7421;0.0
4.999999999999998;0.7199;0.0
5.099999999999998;0.7088;0.0
5.1999999999999975;0.7169;0.0
5.299999999999997;0.717;0.0
5.399999999999997;0.6982;0.0
5.4999999999999964;0.6889;0.0
5.599999999999996;0.6827;0.0
5.699999999999996;0.6711;0.0
5.799999999999995;0.7;0.0
5.899999999999995;0.7009;0.0
5.999999999999995;0.6955;0.0
6.099999999999994;0.6736;0.0
6.199999999999994;0.6584;0.0
6.299999999999994;0.6352;0.0
6.399999999999993;0.597;0.0
6.499999999999993;0.6004;0.0
6.5999999999999925;0.617;0.0
6.699999999999992;0.6181;0.0
6.799999999999992;0.6031;0.0
6.8999999999999915;0.769;0.0
6.999999999999991;0.7781;0.0
7.099999999999991;0.7781;0.0
7.19999999999999;0.7898;0.0
7.29999999999999;0.7644;0.0
7.39999999999999;0.7643;0.0
7.499999999999989;0.7679;0.0
7.599999999999989;0.7676;0.0
7.699999999999989;0.7668;0.0
7.799999999999988;0.7668;0.0
7.899999999999988;0.7689;0.0
7.999999999999988;0.7687;0.0
8.099999999999987;0.7687;0.0
8.199999999999987;0.7666;0.0
8.299999999999986;0.7316;0.0
8.399999999999986;0.7316;0.0
8.499999999999986;0.7047;0.0
8.599999999999985;0.7046;0.0
8.699999999999985;0.7047;0.0
8.799999999999985;0.7047;0.0
8.899999999999984;0.7108;0.0
8.999999999999984;0.7079;0.0
9.099999999999984;0.7072;0.0
9.199999999999983;0.7068;0.0
9.299999999999983;0.6961;0.0
9.399999999999983;0.6783;0.0
9.499999999999982;0.6783;0.0
9.599999999999982;0.6774;0.0
9.699999999999982;0.6743;0.0
9.799999999999981;0.674;0.0
9.89999999999998;0.674;0.0
9.99999999999998;0.6683;0.0
10.09999999999998;0.538;0.0
10.19999999999998;0.5348;0.0
10.29999999999998;0.5348;0.0
10.399999999999979;0.5603;0.0
10.499999999999979;0.5603;0.0
10.599999999999978;0.5602;0.0
10.699999999999978;0.5597;0.0
10.799999999999978;0.5596;0.0
10.899999999999977;0.5591;0.0
10.999999999999977;0.5092;0.0
11.099999999999977;0.5092;0.0
11.199999999999976;0.5092;0.0
11.299999999999976;0.5089;0.0
11.399999999999975;0.5088;0.0
11.499999999999975;0.5088;0.0
11.599999999999975;0.5143;0.0
11.699999999999974;0.5214;0.0
11.799999999999974;0.519;0.0
11.899999999999974;0.519;0.0
11.999999999999973;0.5185;0.0
12.099999999999973;0.5179;0.0
12.199999999999973;0.5179;0.0
12.299999999999972;0.5179;0.0
12.399999999999972;0.5176;0.0
12.499999999999972;0.5176;0.0
12.599999999999971;0.5155;0.0
12.69999999999997;0.135;0.0
12.79999999999997;0.1294;0.0
12.89999999999997;0.1292;0.0
12.99999999999997;0.1225;0.0
13.09999999999997;0.1225;0.0
13.199999999999969;0.1225;0.0
13.299999999999969;0.1218;0.0
13.399999999999968;0.12;0.0
13.499999999999968;0.119;0.0
13.599999999999968;0.1081;0.0
13.699999999999967;0.1081;0.0
13.799999999999967;0.1166;0.0
13.899999999999967;0.1166;0.0
13.999999999999966;0.1163;0.0
14.099999999999966;0.1178;0.0
14.199999999999966;0.1052;0.0
14.299999999999965;0.1052;0.0
14.399999999999965;0.1065;0.0
14.499999999999964;0.1041;0.0
14.599999999999964;0.1041;0.0
14.699999999999964;0.1037;0.0
14.799999999999963;0.1034;0.0
14.899999999999963;0.1032;0.0
14.999999999999963;0.1034;0.0
